Description,Amount,Transaction Type,Account Name,Category
Grocery Store,172.44,debit,Checking,Utilities & Services
BP,129.92,credit,Platinum Card,Entertainment
Amazon,192.01,credit,Platinum Card,Housing
Amazon,11.39,credit,Checking,Food & Drink
Hardware Store,142.06,credit,Platinum Card,Utilities & Services
Gas Company,131.78,credit,Silver Card,Food & Drink
Amazon,104.91,credit,Checking,Food & Drink
Biweekly Paycheck,81.28,credit,Silver Card,Food & Drink
Grocery Store,16.98,credit,Checking,Transportation
Gas Company,120.58,debit,Checking,Paycheck
Mortgage Payment,42.44,debit,Checking,Transportation
Amazon,95.94,credit,Checking,Food & Drink
Credit Card Payment,97.06,debit,Silver Card,Food & Drink
Brunch Restaurant,81.85,credit,Silver Card,Food & Drink
BP,37.67,credit,Platinum Card,Credit Card Payment
Hardware Store,48.96,credit,Silver Card,Transportation
Biweekly Paycheck,17.73,credit,Silver Card,Food & Drink
Grocery Store,28.9,debit,Platinum Card,Paycheck
Biweekly Paycheck,22.31,credit,Silver Card,Food & Drink
Grocery Store,22.98,debit,Silver Card,Food & Drink
Amazon,4.86,debit,Checking,Shopping
Grocery Store,12.02,debit,Platinum Card,Food & Drink
Credit Card Payment,158.91,debit,Platinum Card,Paycheck
Hardware Store,183.17,credit,Platinum Card,Food & Drink
Credit Card Payment,154.88,debit,Silver Card,Utilities & Services
City Water Charges,100.6,credit,Checking,Credit Card Payment
Starbucks,130.61,debit,Checking,Housing
Internet Service Provider,120.25,debit,Platinum Card,Utilities & Services
Gas Company,49.68,debit,Silver Card,Food & Drink
Credit Card Payment,140.68,debit,Checking,Food & Drink
Shell,127.13,debit,Platinum Card,Shopping
Grocery Store,83.14,credit,Platinum Card,Credit Card Payment
Grocery Store,47.0,debit,Platinum Card,Food & Drink
Fancy Restaurant,45.98,credit,Silver Card,Transportation
Credit Card Payment,60.78,debit,Checking,Utilities & Services
Starbucks,142.25,debit,Platinum Card,Food & Drink
Shell,140.92,credit,Checking,Shopping
Phone Company,74.82,debit,Silver Card,Entertainment
Power Company,129.39,credit,Checking,Transportation
Biweekly Paycheck,13.27,credit,Platinum Card,Transportation
Amazon,170.0,debit,Silver Card,Paycheck
Amazon,79.39,credit,Platinum Card,Food & Drink
Starbucks,9.58,debit,Platinum Card,Food & Drink
Amazon,74.63,debit,Checking,Shopping
Grocery Store,163.69,credit,Platinum Card,Food & Drink
Phone Company,142.29,debit,Silver Card,Utilities & Services
Chick-Fil-A,165.43,debit,Checking,Utilities & Services
Amazon,36.14,debit,Platinum Card,Food & Drink
Biweekly Paycheck,104.63,credit,Checking,Shopping
Starbucks,87.73,debit,Silver Card,Utilities & Services
Biweekly Paycheck,73.97,credit,Platinum Card,Transportation
Credit Card Payment,94.49,credit,Platinum Card,Utilities & Services
State Farm,47.91,credit,Checking,Housing
Credit Card Payment,860.05,credit,Platinum Card,Credit Card Payment
Mediterranean Restaurant,166.83,debit,Platinum Card,Credit Card Payment
Phone Company,124.01,credit,Checking,Shopping
Internet Service Provider,99.76,credit,Platinum Card,Shopping
City Water Charges,132.98,credit,Silver Card,Transportation
Shell,104.64,debit,Checking,Utilities & Services
Credit Card Payment,122.95,debit,Checking,Credit Card Payment
Internet Service Provider,184.76,debit,Silver Card,Food & Drink
Mediterranean Restaurant,132.53,credit,Silver Card,Paycheck
Amazon Video,101.48,credit,Platinum Card,Utilities & Services
Brunch Restaurant,103.78,debit,Platinum Card,Food & Drink
Hardware Store,179.71,debit,Silver Card,Food & Drink
Netflix,7.55,credit,Checking,Credit Card Payment
Credit Card Payment,94.94,debit,Checking,Utilities & Services
Thai Restaurant,161.36,credit,Platinum Card,Credit Card Payment
Grocery Store,19.13,debit,Platinum Card,Credit Card Payment
Brunch Restaurant,65.83,credit,Platinum Card,Food & Drink
Grocery Store,168.86,debit,Platinum Card,Utilities & Services
Phone Company,42.47,debit,Checking,Food & Drink
Credit Card Payment,47.61,credit,Checking,Entertainment
Credit Card Payment,50.39,credit,Platinum Card,Food & Drink
Hardware Store,99.36,debit,Checking,Credit Card Payment
Phone Company,102.14,debit,Platinum Card,Food & Drink
Amazon Video,145.19,credit,Platinum Card,Credit Card Payment
Barbershop,52.81,debit,Silver Card,Credit Card Payment
Credit Card Payment,86.4,credit,Checking,Credit Card Payment
Phone Company,39.2,credit,Checking,Transportation
Credit Card Payment,96.83,credit,Platinum Card,Housing
Grocery Store,47.99,debit,Checking,Utilities & Services
Grocery Store,184.88,debit,Silver Card,Food & Drink
Spotify,57.12,debit,Silver Card,Food & Drink
Chick-Fil-A,4.09,debit,Platinum Card,Credit Card Payment
Biweekly Paycheck,76.73,debit,Platinum Card,Utilities & Services
Hardware Store,150.35,debit,Platinum Card,Credit Card Payment
Shell,35.78,credit,Silver Card,Paycheck
Starbucks,35.08,credit,Platinum Card,Food & Drink
Grocery Store,158.69,credit,Platinum Card,Food & Drink
Starbucks,164.39,credit,Silver Card,Credit Card Payment
Shell,126.06,debit,Silver Card,Food & Drink
Credit Card Payment,26.67,credit,Platinum Card,Food & Drink
American Tavern,127.95,credit,Platinum Card,Food & Drink
Starbucks,165.66,debit,Silver Card,Utilities & Services
Grocery Store,56.76,debit,Platinum Card,Paycheck
Gas Company,131.98,debit,Checking,Transportation
Brewing Company,177.05,debit,Platinum Card,Housing
Grocery Store,163.65,credit,Platinum Card,Transportation
Barbershop,163.26,credit,Platinum Card,Utilities & Services
Spotify,82.67,debit,Platinum Card,Food & Drink
Grocery Store,177.06,debit,Checking,Transportation
Netflix,133.81,debit,Checking,Food & Drink
Starbucks,34.68,debit,Platinum Card,Shopping
City Water Charges,133.34,debit,Platinum Card,Food & Drink
State Farm,154.81,credit,Checking,Entertainment
Brunch Restaurant,56.05,credit,Platinum Card,Transportation
Credit Card Payment,65.84,credit,Platinum Card,Utilities & Services
Grocery Store,158.14,debit,Checking,Credit Card Payment
Thai Restaurant,197.52,credit,Platinum Card,Transportation
Credit Card Payment,121.36,credit,Platinum Card,Food & Drink
Belgian Restaurant,49.84,debit,Checking,Food & Drink
Fancy Restaurant,70.38,credit,Checking,Housing
Grocery Store,177.16,debit,Silver Card,Utilities & Services
Grocery Store,117.61,debit,Platinum Card,Transportation
Amazon,7.95,debit,Checking,Utilities & Services
Grocery Store,182.52,debit,Checking,Food & Drink
Amazon,83.88,debit,Platinum Card,Credit Card Payment
Brunch Restaurant,120.01,credit,Platinum Card,Housing
Grocery Store,48.64,debit,Silver Card,Housing
Credit Card Payment,30.66,credit,Silver Card,Transportation
Chick-Fil-A,46.66,credit,Silver Card,Credit Card Payment
Starbucks,181.75,debit,Platinum Card,Utilities & Services
Credit Card Payment,100.56,debit,Platinum Card,Food & Drink
Grocery Store,43.0,debit,Silver Card,Shopping
Credit Card Payment,117.27,debit,Platinum Card,Food & Drink
Phone Company,65.0,debit,Checking,Utilities & Services
American Tavern,81.38,credit,Silver Card,Credit Card Payment
City Water Charges,158.87,credit,Checking,Transportation
Grocery Store,102.86,credit,Silver Card,Credit Card Payment
Starbucks,189.27,credit,Platinum Card,Food & Drink
Mortgage Payment,97.09,debit,Platinum Card,Paycheck
Biweekly Paycheck,168.83,credit,Platinum Card,Paycheck
Credit Card Payment,138.03,credit,Platinum Card,Transportation
Amazon,42.1,debit,Platinum Card,Shopping
Spotify,44.95,debit,Silver Card,Utilities & Services
Netflix,25.65,debit,Platinum Card,Food & Drink
American Tavern,183.05,debit,Platinum Card,Utilities & Services
Brewing Company,53.61,credit,Silver Card,Credit Card Payment
QuikTrip,156.76,debit,Silver Card,Entertainment
Amazon,45.0,debit,Platinum Card,Food & Drink
Netflix,27.47,debit,Silver Card,Food & Drink
Amazon,143.83,debit,Checking,Shopping
Credit Card Payment,110.21,credit,Platinum Card,Transportation
Hardware Store,72.27,debit,Silver Card,Food & Drink
Credit Card Payment,78.01,credit,Silver Card,Paycheck
Starbucks,96.4,credit,Checking,Food & Drink
Phone Company,73.1,debit,Checking,Paycheck
Gas Company,164.49,debit,Platinum Card,Food & Drink
BP,7.49,debit,Platinum Card,Food & Drink
City Water Charges,144.38,debit,Checking,Entertainment
Power Company,176.91,credit,Checking,Haircut
Thai Restaurant,127.71,debit,Platinum Card,Food & Drink
Amazon,7.26,credit,Platinum Card,Shopping
Gas Company,80.73,debit,Platinum Card,Credit Card Payment
Biweekly Paycheck,141.71,credit,Checking,Paycheck
Amazon Video,59.63,debit,Platinum Card,Housing
Grocery Store,38.6,credit,Checking,Housing
Brunch Restaurant,65.25,credit,Platinum Card,Food & Drink
Movie Theater,151.31,debit,Checking,Food & Drink
Food Truck,155.1,credit,Platinum Card,Credit Card Payment
Hardware Store,161.76,debit,Checking,Utilities & Services
Pizza Place,30.75,credit,Silver Card,Food & Drink
Credit Card Payment,30.2,debit,Platinum Card,Paycheck
Mortgage Payment,22.82,credit,Silver Card,Haircut
Shell,49.99,credit,Checking,Entertainment
American Tavern,88.9,credit,Silver Card,Entertainment
Brewing Company,157.83,credit,Platinum Card,Credit Card Payment
Barbershop,50.4,credit,Platinum Card,Food & Drink
Grocery Store,185.78,credit,Platinum Card,Utilities & Services
Vietnamese Restaurant,71.91,credit,Platinum Card,Credit Card Payment
Gas Company,69.54,credit,Silver Card,Transportation
Credit Card Payment,67.56,credit,Silver Card,Utilities & Services
Biweekly Paycheck,199.89,credit,Checking,Shopping
QuikTrip,133.23,credit,Silver Card,Food & Drink
Amazon,1.3,debit,Checking,Food & Drink
Credit Card Payment,2.49,debit,Platinum Card,Housing
State Farm,185.13,debit,Platinum Card,Food & Drink
Grocery Store,58.79,debit,Silver Card,Food & Drink
Power Company,192.74,credit,Silver Card,Food & Drink
Greek Restaurant,57.47,credit,Platinum Card,Housing
Gas Company,2.24,credit,Platinum Card,Food & Drink
Netflix,184.19,debit,Checking,Food & Drink
Grocery Store,180.42,credit,Platinum Card,Credit Card Payment
Vietnamese Restaurant,41.35,debit,Platinum Card,Credit Card Payment
Amazon,32.67,credit,Platinum Card,Transportation
Phone Company,189.79,debit,Platinum Card,Housing
Grocery Store,7.39,debit,Platinum Card,Food & Drink
Grocery Store,138.1,credit,Silver Card,Utilities & Services
Spotify,37.56,debit,Platinum Card,Credit Card Payment
Biweekly Paycheck,101.6,credit,Silver Card,Transportation
Mortgage Payment,82.64,debit,Silver Card,Haircut
Phone Company,34.66,credit,Platinum Card,Transportation
Credit Card Payment,41.01,debit,Checking,Credit Card Payment
Brewing Company,103.68,credit,Checking,Utilities & Services
Mortgage Payment,152.86,credit,Silver Card,Food & Drink
Grocery Store,109.53,debit,Silver Card,Credit Card Payment
State Farm,76.06,credit,Checking,Shopping
Credit Card Payment,64.04,debit,Silver Card,Food & Drink
Brewing Company,80.29,debit,Platinum Card,Credit Card Payment
Grocery Store,193.94,credit,Platinum Card,Utilities & Services
Japanese Restaurant,148.7,debit,Platinum Card,Food & Drink
Brewing Company,77.49,debit,Silver Card,Food & Drink
German Restaurant,83.12,credit,Platinum Card,Food & Drink
Credit Card Payment,76.66,credit,Platinum Card,Credit Card Payment
Credit Card Payment,29.36,credit,Checking,Food & Drink
Credit Card Payment,61.08,credit,Checking,Transportation
Netflix,53.26,credit,Checking,Food & Drink
Credit Card Payment,93.04,credit,Checking,Food & Drink
Grocery Store,84.24,credit,Platinum Card,Housing
Biweekly Paycheck,70.05,credit,Checking,Food & Drink
Starbucks,38.78,debit,Checking,Transportation
Gas Company,64.93,credit,Platinum Card,Food & Drink
Shell,162.27,credit,Checking,Credit Card Payment
Amazon,84.84,debit,Platinum Card,Utilities & Services
Vietnamese Restaurant,28.27,credit,Checking,Entertainment
Amazon,49.72,debit,Platinum Card,Shopping
Grocery Store,17.25,credit,Platinum Card,Utilities & Services
Greek Restaurant,96.86,debit,Platinum Card,Housing
American Tavern,154.58,credit,Silver Card,Food & Drink
Internet Service Provider,147.48,debit,Platinum Card,Food & Drink
Credit Card Payment,190.71,credit,Platinum Card,Utilities & Services
Credit Card Payment,1552.65,debit,Checking,Credit Card Payment
Amazon Video,162.74,credit,Platinum Card,Food & Drink
Netflix,11.76,debit,Platinum Card,Entertainment
Mediterranean Restaurant,121.83,debit,Platinum Card,Credit Card Payment
Brewing Company,26.98,credit,Checking,Utilities & Services
Hardware Store,177.36,credit,Silver Card,Food & Drink
American Tavern,127.03,debit,Checking,Food & Drink
Pizza Place,116.03,debit,Platinum Card,Housing
Power Company,31.79,credit,Platinum Card,Food & Drink
City Water Charges,128.47,credit,Checking,Credit Card Payment
Spotify,27.29,debit,Platinum Card,Housing
Credit Card Payment,72.48,credit,Platinum Card,Credit Card Payment
Grocery Store,87.14,debit,Silver Card,Food & Drink
City Water Charges,33.51,credit,Platinum Card,Paycheck
Phone Company,8.54,credit,Silver Card,Credit Card Payment
Pizza Place,23.66,debit,Platinum Card,Food & Drink
Grocery Store,134.86,credit,Platinum Card,Food & Drink
Mortgage Payment,122.73,debit,Silver Card,Food & Drink
Amazon,162.06,credit,Checking,Entertainment
Best Buy,93.57,credit,Checking,Food & Drink
American Tavern,70.9,debit,Checking,Transportation
Grocery Store,102.31,debit,Checking,Transportation
Internet Service Provider,102.09,debit,Platinum Card,Shopping
Starbucks,178.21,credit,Silver Card,Food & Drink
City Water Charges,69.03,debit,Silver Card,Food & Drink
Amazon,122.4,credit,Platinum Card,Food & Drink
Credit Card Payment,75.34,debit,Checking,Food & Drink
Grocery Store,187.43,credit,Platinum Card,Credit Card Payment
Starbucks,93.33,debit,Checking,Housing
Brewing Company,19.5,debit,Silver Card,Food & Drink
Amazon,95.15,credit,Checking,Paycheck
Credit Card Payment,91.37,debit,Checking,Utilities & Services
Starbucks,166.42,debit,Checking,Utilities & Services
Spotify,63.64,debit,Platinum Card,Food & Drink
Go Mart,136.3,debit,Platinum Card,Food & Drink
Hardware Store,185.63,debit,Checking,Food & Drink
Phone Company,67.46,credit,Platinum Card,Credit Card Payment
Movie Theater,147.44,credit,Platinum Card,Food & Drink
Amazon,13.84,debit,Platinum Card,Shopping
Gas Company,173.29,credit,Platinum Card,Entertainment
American Tavern,63.84,credit,Checking,Shopping
Credit Card Payment,145.11,credit,Platinum Card,Food & Drink
Wendy's,89.48,debit,Checking,Paycheck
Internet Service Provider,174.79,credit,Checking,Housing
Starbucks,9.67,debit,Platinum Card,Haircut
Starbucks,10.74,debit,Platinum Card,Housing
Latin Restaurant,20.65,debit,Platinum Card,Food & Drink
Grocery Store,181.04,debit,Checking,Utilities & Services
Credit Card Payment,42.84,credit,Silver Card,Food & Drink
City Water Charges,132.33,credit,Platinum Card,Housing
American Tavern,133.96,credit,Platinum Card,Food & Drink
Gas Company,137.47,credit,Platinum Card,Shopping
Credit Card Payment,68.66,credit,Platinum Card,Food & Drink
Credit Card Payment,116.68,debit,Checking,Housing
Internet Service Provider,94.82,credit,Checking,Utilities & Services
Credit Card Payment,172.82,debit,Checking,Food & Drink
Movie Theater,20.0,debit,Silver Card,Entertainment
Shell,136.88,credit,Silver Card,Credit Card Payment
Brewing Company,148.28,debit,Silver Card,Food & Drink
City Water Charges,59.84,debit,Platinum Card,Housing
Internet Service Provider,95.7,debit,Platinum Card,Paycheck
Brewing Company,195.45,credit,Checking,Utilities & Services
Biweekly Paycheck,114.8,credit,Platinum Card,Shopping
Power Company,189.83,credit,Silver Card,Credit Card Payment
Hardware Store,7.35,debit,Platinum Card,Credit Card Payment
Grocery Store,133.12,credit,Platinum Card,Food & Drink
Grocery Store,166.86,credit,Silver Card,Food & Drink
Brunch Restaurant,8.5,debit,Silver Card,Food & Drink
BBQ Restaurant,1.43,debit,Platinum Card,Transportation
American Tavern,143.23,debit,Checking,Transportation
German Restaurant,15.48,debit,Platinum Card,Credit Card Payment
Starbucks,151.86,debit,Checking,Transportation
Internet Service Provider,54.47,debit,Checking,Credit Card Payment
Phone Company,111.02,debit,Platinum Card,Food & Drink
Biweekly Paycheck,67.22,debit,Checking,Food & Drink
State Farm,47.5,credit,Silver Card,Transportation
Amazon,177.42,credit,Platinum Card,Credit Card Payment
State Farm,128.42,credit,Silver Card,Credit Card Payment
Credit Card Payment,173.65,debit,Platinum Card,Paycheck
Credit Card Payment,73.39,debit,Checking,Food & Drink
Gas Company,198.8,credit,Silver Card,Food & Drink
Greek Restaurant,137.92,debit,Platinum Card,Housing
German Restaurant,175.31,credit,Checking,Food & Drink
Gas Company,84.29,credit,Checking,Shopping
Gas Company,118.53,credit,Platinum Card,Transportation
Biweekly Paycheck,36.61,debit,Platinum Card,Shopping
Credit Card Payment,60.09,debit,Checking,Utilities & Services
Vietnamese Restaurant,11.02,credit,Platinum Card,Shopping
Biweekly Paycheck,170.05,credit,Platinum Card,Utilities & Services
BP,189.13,credit,Silver Card,Utilities & Services
Barbershop,16.32,credit,Platinum Card,Food & Drink
BP,52.9,credit,Checking,Housing
Credit Card Payment,130.95,credit,Platinum Card,Utilities & Services
City Water Charges,104.02,credit,Checking,Paycheck
Brewing Company,150.2,debit,Checking,Credit Card Payment
Credit Card Payment,172.47,debit,Platinum Card,Entertainment
Grocery Store,3.99,credit,Checking,Food & Drink
Thai Restaurant,123.19,credit,Checking,Food & Drink
Amazon,145.61,credit,Platinum Card,Utilities & Services
Amazon,125.55,credit,Silver Card,Credit Card Payment
Biweekly Paycheck,66.78,credit,Silver Card,Paycheck
Amazon,170.61,debit,Checking,Utilities & Services
BP,22.25,debit,Silver Card,Transportation
Brewing Company,125.56,credit,Checking,Transportation
Mediterranean Restaurant,88.69,credit,Platinum Card,Utilities & Services
Starbucks,116.57,credit,Checking,Haircut
Grocery Store,91.52,credit,Platinum Card,Shopping
Hardware Store,59.42,credit,Platinum Card,Utilities & Services
Italian Restaurant,124.31,credit,Platinum Card,Credit Card Payment
Netflix,1.97,debit,Platinum Card,Entertainment
Biweekly Paycheck,143.47,credit,Platinum Card,Food & Drink
QuikTrip,50.6,credit,Checking,Shopping
Barbershop,113.94,debit,Platinum Card,Food & Drink
Brunch Restaurant,102.05,credit,Checking,Utilities & Services
Spotify,10.69,debit,Platinum Card,Entertainment
American Tavern,40.39,credit,Silver Card,Food & Drink
Grocery Store,35.78,debit,Checking,Paycheck
Pizza Place,84.24,debit,Platinum Card,Credit Card Payment
Brunch Restaurant,190.46,credit,Silver Card,Food & Drink
Biweekly Paycheck,93.62,debit,Platinum Card,Transportation
Grocery Store,80.61,debit,Platinum Card,Credit Card Payment
State Farm,174.53,debit,Platinum Card,Housing
Amazon,188.21,debit,Platinum Card,Entertainment
Power Company,9.92,debit,Checking,Utilities & Services
Seafood Restaurant,14.78,credit,Platinum Card,Food & Drink
Power Company,15.4,debit,Silver Card,Credit Card Payment
Credit Card Payment,93.78,debit,Checking,Housing
Biweekly Paycheck,34.9,credit,Platinum Card,Utilities & Services
Internet Service Provider,198.93,credit,Checking,Transportation
Amazon,140.47,credit,Platinum Card,Paycheck
Best Buy,153.97,debit,Checking,Food & Drink
Starbucks,12.84,debit,Platinum Card,Food & Drink
Barbershop,143.22,debit,Silver Card,Transportation
Gas Company,65.64,credit,Platinum Card,Food & Drink
Grocery Store,41.85,debit,Platinum Card,Utilities & Services
Credit Card Payment,100.17,debit,Platinum Card,Food & Drink
Thai Restaurant,26.67,debit,Silver Card,Food & Drink
Netflix,32.2,debit,Platinum Card,Transportation
Grocery Store,123.36,credit,Platinum Card,Paycheck
Food Truck,126.27,credit,Platinum Card,Food & Drink
Japanese Restaurant,74.96,credit,Checking,Utilities & Services
Grocery Store,61.66,debit,Platinum Card,Credit Card Payment
Brewing Company,52.65,debit,Silver Card,Credit Card Payment
Mediterranean Restaurant,19.66,credit,Platinum Card,Transportation
Credit Card Payment,604.32,debit,Checking,Credit Card Payment
Credit Card Payment,149.28,credit,Platinum Card,Housing
Best Buy,105.35,credit,Platinum Card,Housing
Hardware Store,3.48,credit,Platinum Card,Housing
Credit Card Payment,109.13,debit,Silver Card,Food & Drink
Netflix,162.43,debit,Silver Card,Haircut
Mediterranean Restaurant,67.03,debit,Platinum Card,Food & Drink
Amazon,47.66,debit,Platinum Card,Shopping
QuikTrip,184.74,debit,Platinum Card,Shopping
Netflix,11.76,debit,Platinum Card,Entertainment
Barbershop,157.28,debit,Platinum Card,Food & Drink
American Tavern,69.19,credit,Silver Card,Haircut
State Farm,149.57,debit,Checking,Credit Card Payment
Amazon,55.49,credit,Silver Card,Food & Drink
Phone Company,148.98,credit,Platinum Card,Food & Drink
QuikTrip,181.87,credit,Checking,Credit Card Payment
Amazon,123.56,debit,Platinum Card,Transportation
Phone Company,66.42,debit,Platinum Card,Food & Drink
Thai Restaurant,6.37,debit,Platinum Card,Utilities & Services
Brunch Restaurant,41.55,debit,Checking,Food & Drink
Phone Company,159.51,credit,Platinum Card,Food & Drink
Grocery Store,59.27,credit,Platinum Card,Entertainment
Spotify,37.56,debit,Platinum Card,Paycheck
Gas Company,140.07,debit,Platinum Card,Shopping
Brewing Company,130.75,credit,Platinum Card,Credit Card Payment
BP,168.78,debit,Checking,Credit Card Payment
City Water Charges,92.89,debit,Platinum Card,Credit Card Payment
Credit Card Payment,12.12,credit,Platinum Card,Transportation
City Water Charges,8.67,credit,Silver Card,Transportation
Gas Company,171.5,credit,Silver Card,Food & Drink
Amazon,71.58,credit,Silver Card,Haircut
Belgian Restaurant,124.57,credit,Silver Card,Transportation
Greek Restaurant,166.35,credit,Platinum Card,Food & Drink
Thai Restaurant,55.92,debit,Platinum Card,Food & Drink
Credit Card Payment,199.73,credit,Platinum Card,Food & Drink
Brewing Company,182.12,credit,Platinum Card,Food & Drink
Biweekly Paycheck,76.0,credit,Checking,Credit Card Payment
Fancy Restaurant,55.56,debit,Silver Card,Utilities & Services
Power Company,109.67,debit,Platinum Card,Utilities & Services
Best Buy,106.93,credit,Checking,Credit Card Payment
Credit Card Payment,9.49,credit,Platinum Card,Food & Drink
City Water Charges,98.37,credit,Platinum Card,Transportation
Blue Sky Market,193.37,debit,Platinum Card,Food & Drink
Brewing Company,125.45,debit,Platinum Card,Paycheck
Grocery Store,44.78,credit,Platinum Card,Credit Card Payment
American Tavern,136.56,credit,Silver Card,Food & Drink
Gas Company,72.17,debit,Silver Card,Food & Drink
New York Deli,54.08,debit,Platinum Card,Shopping
Vietnamese Restaurant,64.45,debit,Checking,Credit Card Payment
Hardware Store,49.54,debit,Silver Card,Transportation
Chick-Fil-A,70.51,credit,Platinum Card,Utilities & Services
Amazon,132.03,debit,Platinum Card,Credit Card Payment
Internet Service Provider,62.16,debit,Silver Card,Credit Card Payment
Hardware Store,121.47,credit,Platinum Card,Utilities & Services
City Water Charges,70.84,credit,Platinum Card,Food & Drink
Grocery Store,82.79,credit,Platinum Card,Shopping
Starbucks,17.82,debit,Platinum Card,Food & Drink
Phone Company,10.56,debit,Platinum Card,Credit Card Payment
QuikTrip,143.64,credit,Silver Card,Food & Drink
Target,21.42,credit,Silver Card,Food & Drink
Bojangles,135.19,credit,Checking,Housing
City Water Charges,154.04,credit,Platinum Card,Utilities & Services
Gas Company,10.9,debit,Platinum Card,Paycheck
Mediterranean Restaurant,165.02,credit,Silver Card,Haircut
Grocery Store,86.32,debit,Checking,Utilities & Services
Netflix,90.6,debit,Silver Card,Shopping
Internet Service Provider,181.73,credit,Checking,Credit Card Payment
City Water Charges,1.43,credit,Platinum Card,Shopping
Credit Card Payment,4.03,credit,Checking,Shopping
Phone Company,89.54,debit,Checking,Utilities & Services
Gas Company,117.93,debit,Checking,Housing
Amazon,95.83,credit,Checking,Food & Drink
Mediterranean Restaurant,33.71,debit,Checking,Food & Drink
Credit Card Payment,142.32,credit,Platinum Card,Food & Drink
Bakery Place,194.24,debit,Platinum Card,Food & Drink
Barbershop,108.29,credit,Platinum Card,Food & Drink
City Water Charges,174.27,debit,Checking,Entertainment
Grocery Store,42.97,credit,Checking,Credit Card Payment
BP,34.08,debit,Platinum Card,Transportation
Netflix,112.8,debit,Checking,Credit Card Payment
Amazon,148.48,debit,Silver Card,Utilities & Services
Biweekly Paycheck,199.51,credit,Platinum Card,Housing
Credit Card Payment,102.55,debit,Checking,Utilities & Services
Credit Card Payment,39.46,debit,Platinum Card,Transportation
Mortgage Payment,48.08,debit,Platinum Card,Shopping
Amazon,182.46,credit,Platinum Card,Food & Drink
Credit Card Payment,192.58,debit,Platinum Card,Food & Drink
Grocery Store,10.15,debit,Platinum Card,Food & Drink
Grocery Store,15.21,credit,Silver Card,Shopping
Grocery Store,136.3,credit,Checking,Food & Drink
Grocery Store,102.38,credit,Platinum Card,Entertainment
Thai Restaurant,89.41,debit,Platinum Card,Utilities & Services
State Farm,188.83,credit,Checking,Food & Drink
Credit Card Payment,137.37,credit,Checking,Utilities & Services
Starbucks,139.33,debit,Checking,Shopping
Hardware Store,145.71,credit,Platinum Card,Utilities & Services
Barbershop,185.97,debit,Platinum Card,Food & Drink
Roadside Diner,101.21,debit,Platinum Card,Credit Card Payment
Hardware Store,76.14,credit,Checking,Entertainment
Credit Card Payment,52.79,credit,Silver Card,Utilities & Services
Brunch Restaurant,175.66,debit,Platinum Card,Utilities & Services
Grocery Store,64.32,debit,Platinum Card,Credit Card Payment
Phone Company,130.32,credit,Silver Card,Utilities & Services
Food Truck,64.56,debit,Checking,Food & Drink
Internet Service Provider,74.99,debit,Checking,Utilities & Services
Internet Service Provider,10.2,debit,Checking,Entertainment
Greek Restaurant,118.12,credit,Platinum Card,Shopping
Power Company,71.08,credit,Platinum Card,Food & Drink
Biweekly Paycheck,68.82,debit,Platinum Card,Shopping
City Water Charges,118.64,debit,Platinum Card,Food & Drink
Credit Card Payment,50.88,debit,Checking,Food & Drink
Belgian Restaurant,192.61,credit,Checking,Utilities & Services
Barbershop,135.65,debit,Platinum Card,Food & Drink
Biweekly Paycheck,148.27,debit,Platinum Card,Food & Drink
Credit Card Payment,765.68,debit,Checking,Credit Card Payment
Grocery Store,3.75,credit,Platinum Card,Shopping
Credit Card Payment,134.83,credit,Platinum Card,Utilities & Services
Spotify,125.33,credit,Checking,Food & Drink
City Water Charges,114.55,credit,Platinum Card,Shopping
Mediterranean Restaurant,146.05,credit,Silver Card,Credit Card Payment
Grocery Store,150.22,credit,Platinum Card,Shopping
Biweekly Paycheck,53.36,debit,Checking,Entertainment
Credit Card Payment,44.37,credit,Platinum Card,Credit Card Payment
BP,146.25,credit,Platinum Card,Utilities & Services
Grocery Store,59.5,debit,Platinum Card,Credit Card Payment
Hardware Store,26.25,debit,Silver Card,Housing
Netflix,176.7,credit,Silver Card,Utilities & Services
Amazon,162.95,debit,Checking,Credit Card Payment
Grocery Store,85.82,debit,Checking,Transportation
Amazon,117.69,debit,Platinum Card,Shopping
Mortgage Payment,165.54,debit,Platinum Card,Shopping
Credit Card Payment,173.5,credit,Checking,Credit Card Payment
Phone Company,46.04,credit,Platinum Card,Food & Drink
Amazon,29.02,debit,Platinum Card,Paycheck
American Tavern,95.83,credit,Platinum Card,Transportation
Credit Card Payment,41.98,credit,Platinum Card,Food & Drink
BP,145.29,debit,Checking,Transportation
Shell,120.28,debit,Silver Card,Paycheck
Starbucks,92.65,debit,Silver Card,Food & Drink
Biweekly Paycheck,24.36,credit,Platinum Card,Housing
Grocery Store,179.37,credit,Platinum Card,Utilities & Services
American Tavern,73.96,debit,Silver Card,Food & Drink
Phone Company,155.9,credit,Silver Card,Credit Card Payment
Grocery Store,141.92,credit,Platinum Card,Shopping
BP,184.91,credit,Checking,Utilities & Services
Phone Company,127.56,debit,Platinum Card,Food & Drink
Grocery Store,166.59,debit,Checking,Transportation
Grocery Store,11.16,credit,Checking,Food & Drink
Shell,177.79,debit,Platinum Card,Food & Drink
Mike's Construction Co.,1.67,credit,Silver Card,Credit Card Payment
Internet Service Provider,8.77,credit,Silver Card,Credit Card Payment
Biweekly Paycheck,2000.0,credit,Checking,Paycheck
Credit Card Payment,64.72,credit,Checking,Transportation
